ENTREZID	PATHWAY_TERM	SYMBOL	perc.genes
100125288	NA	ZGLP1	0.861578890914942
100125288	Gonadotropin-releasing hormone receptor pathway	ZGLP1	0.0669312453073045
100127206	NA	MINAR2	0.861578890914942
100127983	NA	C8orf88	0.861578890914942
100127983	CCKR signaling map	C8orf88	0.0578140083664057
100127983	p38 MAPK pathway	C8orf88	0.0134613321892095
100127983	p53 pathway by glucose deprivation	C8orf88	0.00713289713611498
100128071	NA	FAM229A	0.861578890914942
100128327	NA	TRAPPC3L	0.861578890914942
100128553	Nicotinic acetylcholine receptor signaling pathway	CTAGE4	0.0144266866888341
100128569	NA	C19orf71	0.861578890914942
100128731	NA	OST4	0.861578890914942
100128927	NA	ZBTB42	0.861578890914942
100129128	NA	KHDC1L	0.861578890914942
100129271	NA	C1orf68	0.861578890914942
100129278	NA	TDRD15	0.861578890914942
100129278	CCKR signaling map	TDRD15	0.0578140083664057
100129480	NA	MKRN2OS	0.861578890914942
100129543	NA	ZNF730	0.861578890914942
100129583	NA	FAM47E	0.861578890914942
100129583	Gonadotropin-releasing hormone receptor pathway	FAM47E	0.0669312453073045
100129654	NA	TCF24	0.861578890914942
100129669	NA	IZUMO3	0.861578890914942
100129792	NA	CCDC152	0.861578890914942
100129842	NA	ZNF737	0.861578890914942
100129969	NA	FAM205C	0.861578890914942
10013	NA	HDAC6	0.861578890914942
10013	CCKR signaling map	HDAC6	0.0578140083664057
10013	Wnt signaling pathway	HDAC6	0.0381315027351711
10013	p53 pathway	HDAC6	0.0235975544352676
100130086	NA	HSFX2	0.861578890914942
100130274	NA	CCDC166	0.861578890914942
100130311	NA	C17orf107	0.861578890914942
100130348	NA	TMEM262	0.861578890914942
100130361	NA	CXorf49	0.861578890914942
100130519	NA	TMEM221	0.861578890914942
100130613	NA	PRR32	0.861578890914942
100130733	NA	LRRC70	0.861578890914942
100130733	Axon guidance mediated by Slit/Robo	LRRC70	0.010511637884801
100130733	Blood coagulation	LRRC70	0.0147484715220423
100130733	Toll receptor signaling pathway	LRRC70	0.014802102327577
100130742	NA	LRRC69	0.861578890914942
100130827	NA	SBK3	0.861578890914942
100130890	NA	TSTD3	0.861578890914942
100130958	NA	SYCE1L	0.861578890914942
100131017	NA	ZNF316	0.861578890914942
100131137	NA	BSPH1	0.861578890914942
100131187	NA	TSTD1	0.861578890914942
100131211	NA	NEMP2	0.861578890914942
100131244	NA	ANKRD63	0.861578890914942
100131378	NA	C11orf91	0.861578890914942
100131390	NA	SP9	0.861578890914942
100131390	CCKR signaling map	SP9	0.0578140083664057
100131390	Gonadotropin-releasing hormone receptor pathway	SP9	0.0669312453073045
100131390	Huntington disease	SP9	0.0274053416282313
100131439	NA	CD300LD	0.861578890914942
100131608	NA	PRR23D1	0.861578890914942
100131801	NA	PET100	0.861578890914942
100131897	NA	INSYN2B	0.861578890914942
100131980	NA	ZNF705G	0.861578890914942
100132285	NA	KIR2DS2	0.861578890914942
100132386	NA	KRTAP4-9	0.861578890914942
100132396	NA	ZNF705B	0.861578890914942
100132399	NA	GAGE12D	0.861578890914942
100132463	NA	CLDN24	0.861578890914942
100132911	NA	DPH3P1	0.861578890914942
100132916	NA	SHISAL2B	0.861578890914942
100132963	NA	SMIM9	0.861578890914942
100132994	NA	CXorf49B	0.861578890914942
100133093	NA	FAM25G	0.861578890914942
100133251	NA	PRR23D2	0.861578890914942
100133941	NA	CD24	0.861578890914942
100134444	NA	KCNJ18	0.861578890914942
100134444	GABA-B receptor II signaling	KCNJ18	0.00557760377560871
100134444	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	KCNJ18	0.0163037648825485
100134444	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	KCNJ18	0.0230076155743859
100134444	Muscarinic acetylcholine receptor 2 and 4 signaling pathway	KCNJ18	0.00777646680253137
100134934	NA	TEN1	0.861578890914942
100134938	NA	UPK3BL1	0.861578890914942
100137047	NA	JMJD7	0.861578890914942
100137049	Angiogenesis	PLA2G4B	0.0381851335407058
100137049	Inflammation mediated by chemokine and cytokine signaling pathway	PLA2G4B	0.0403839965676284
100137049	Oxidative stress response	PLA2G4B	0.00970717580178054
100137049	VEGF signaling pathway	PLA2G4B	0.0212914297972756
100137049	CCKR signaling map	PLA2G4B	0.0578140083664057
100137049	Endothelin signaling pathway	PLA2G4B	0.0129250241338625
100137049	Gonadotropin-releasing hormone receptor pathway	PLA2G4B	0.0669312453073045
10014	NA	HDAC5	0.861578890914942
10014	CCKR signaling map	HDAC5	0.0578140083664057
10014	Wnt signaling pathway	HDAC5	0.0381315027351711
10014	p53 pathway	HDAC5	0.0235975544352676
100141515	NA	C17orf99	0.861578890914942
100142659	Nicotinic acetylcholine receptor signaling pathway	CTAGE8	0.0144266866888341
10015	NA	PDCD6IP	0.861578890914942
100169851	NA	PATE3	0.861578890914942
10017	Apoptosis signaling pathway	BCL2L10	0.0195216132146305
10017	CCKR signaling map	BCL2L10	0.0578140083664057
10017	Huntington disease	BCL2L10	0.0274053416282313
10017	Oxidative stress response	BCL2L10	0.00970717580178054
10017	p53 pathway	BCL2L10	0.0235975544352676
100170229	NA	SRRM5	0.861578890914942
100170765	NA	ERICH4	0.861578890914942
100170841	NA	EPOP	0.861578890914942
10018	Apoptosis signaling pathway	BCL2L11	0.0195216132146305
100188893	NA	TOMM6	0.861578890914942
10019	NA	SH2B3	0.861578890914942
100190949	NA	C5orf52	0.861578890914942
100191040	NA	C2CD4D	0.861578890914942
100191040	Gonadotropin-releasing hormone receptor pathway	C2CD4D	0.0669312453073045
100191040	Synaptic vesicle trafficking	C2CD4D	0.00858092888555186
1002	Cadherin signaling pathway	CDH4	0.0174300117987772
1002	Wnt signaling pathway	CDH4	0.0381315027351711
1002	Alzheimer disease-presenilin pathway	CDH4	0.0163037648825485
1002	CCKR signaling map	CDH4	0.0578140083664057
10020	NA	GNE	0.861578890914942
10020	N-acetylglucosamine metabolism	GNE	0.000429046444277593
10021	NA	HCN4	0.861578890914942
10021	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction	HCN4	0.00981443741284994
10022	NA	INSL5	0.861578890914942
10023	NA	FRAT1	0.861578890914942
10024	NA	TROAP	0.861578890914942
10025	NA	MED16	0.861578890914942
10026	NA	PIGK	0.861578890914942
100271715	NA	ARHGEF33	0.861578890914942
100271715	Axon guidance mediated by semaphorins	ARHGEF33	0.0102434838571275
100271715	CCKR signaling map	ARHGEF33	0.0578140083664057
100271715	Cytoskeletal regulation by Rho GTPase	ARHGEF33	0.0153920411884587
100271715	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	ARHGEF33	0.0230076155743859
100271846	NA	ERVV-2	0.861578890914942
100271849	CCKR signaling map	MEF2B	0.0578140083664057
100271849	p38 MAPK pathway	MEF2B	0.0134613321892095
100271849	Gonadotropin-releasing hormone receptor pathway	MEF2B	0.0669312453073045
100271849	Interleukin signaling pathway	MEF2B	0.024777432157031
100271849	Oxidative stress response	MEF2B	0.00970717580178054
100271849	PDGF signaling pathway	MEF2B	0.0322321141263542
100271849	Ras Pathway	MEF2B	0.0177517966319854
100271927	EGF receptor signaling pathway	RASA4B	0.0227930923522471
100271927	FGF signaling pathway	RASA4B	0.0230612463799206
100271927	PDGF signaling pathway	RASA4B	0.0322321141263542
100271927	Angiogenesis	RASA4B	0.0381851335407058
100271927	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	RASA4B	0.0134613321892095
100271927	Interleukin signaling pathway	RASA4B	0.024777432157031
100272147	NA	CMC4	0.861578890914942
100287144	NA	USP17L10	0.861578890914942
100287171	NA	WASHC1	0.861578890914942
100287178	NA	USP17L11	0.861578890914942
100287205	NA	USP17L12	0.861578890914942
100287226	NA	ZNF729	0.861578890914942
100287238	NA	USP17L13	0.861578890914942
100287284	NA	MANSC4	0.861578890914942
100287327	NA	USP17L17	0.861578890914942
100287364	NA	USP17L18	0.861578890914942
100287404	NA	USP17L19	0.861578890914942
100287441	NA	USP17L20	0.861578890914942
100287478	NA	USP17L21	0.861578890914942
100287482	NA	SMKR1	0.861578890914942
100287513	NA	USP17L22	0.861578890914942
100287718	NA	ANKRD66	0.861578890914942
100287898	NA	TTC34	0.861578890914942
100287932	NA	TIMM23	0.861578890914942
100288332	NA	NPIPA5	0.861578890914942
100288413	NA	ERVMER34-1	0.861578890914942
100288485	NA	MTRNR2L7	0.861578890914942
100288687	NA	DUX4	0.861578890914942
100288687	Gonadotropin-releasing hormone receptor pathway	DUX4	0.0669312453073045
100288695	Integrin signalling pathway	LIMS4	0.0322857449318889
100288797	NA	TMEM239	0.861578890914942
100288801	NA	FRG2C	0.861578890914942
100288814	NA	CLDN34	0.861578890914942
100288966	NA	LOC100288966	0.861578890914942
100288966	Inflammation mediated by chemokine and cytokine signaling pathway	LOC100288966	0.0403839965676284
100288966	Toll receptor signaling pathway	LOC100288966	0.014802102327577
100289087	NA	TSPY10	0.861578890914942
100289462	NA	DEFB4B	0.861578890914942
100289635	NA	ZNF605	0.861578890914942
100289678	NA	ZNF783	0.861578890914942
100293534	NA	C4B_2	0.861578890914942
100293534	Blood coagulation	C4B_2	0.0147484715220423
1003	Cadherin signaling pathway	CDH5	0.0174300117987772
1003	Wnt signaling pathway	CDH5	0.0381315027351711
1003	Alzheimer disease-presenilin pathway	CDH5	0.0163037648825485
1003	CCKR signaling map	CDH5	0.0578140083664057
100302652	NA	GPR75-ASB3	0.861578890914942
100302736	NA	TMED7-TICAM2	0.861578890914942
100302736	Toll receptor signaling pathway	TMED7-TICAM2	0.014802102327577
100303755	NA	PET117	0.861578890914942
100310812	NA	SPDYE2B	0.861578890914942
100310846	NA	ANKRD61	0.861578890914942
100316904	NA	SAP25	0.861578890914942
10036	NA	CHAF1A	0.861578890914942
10038	FAS signaling pathway	PARP2	0.0138367478279524
100381270	NA	ZBED6	0.861578890914942
10039	FAS signaling pathway	PARP3	0.0138367478279524
1004	Cadherin signaling pathway	CDH6	0.0174300117987772
1004	Wnt signaling pathway	CDH6	0.0381315027351711
1004	Alzheimer disease-presenilin pathway	CDH6	0.0163037648825485
1004	CCKR signaling map	CDH6	0.0578140083664057
10040	NA	TOM1L1	0.861578890914942
10042	NA	HMGXB4	0.861578890914942
10042	General transcription by RNA polymerase I	HMGXB4	0.00273517108226966
10042	Wnt signaling pathway	HMGXB4	0.0381315027351711
10042	p53 pathway	HMGXB4	0.0235975544352676
100423062	NA	IGLL5	0.861578890914942
100423062	B cell activation	IGLL5	0.0215059530194144
10043	NA	TOM1	0.861578890914942
100431172	NA	KLRF2	0.861578890914942
10044	NA	SH2D3C	0.861578890914942
10045	NA	SH2D3A	0.861578890914942
10046	NA	MAMLD1	0.861578890914942
100462977	NA	MTRNR2L1	0.861578890914942
100462981	NA	MTRNR2L2	0.861578890914942
100462983	NA	MTRNR2L3	0.861578890914942
100463285	NA	MTRNR2L4	0.861578890914942
100463289	NA	MTRNR2L5	0.861578890914942
100463482	NA	MTRNR2L6	0.861578890914942
100463486	NA	MTRNR2L8	0.861578890914942
100463487	NA	MTRNR2L9	0.861578890914942
100463488	NA	MTRNR2L10	0.861578890914942
10047	NA	CST8	0.861578890914942
10048	NA	RANBP9	0.861578890914942
10049	NA	DNAJB6	0.861578890914942
1005	Cadherin signaling pathway	CDH7	0.0174300117987772
1005	Wnt signaling pathway	CDH7	0.0381315027351711
1005	Alzheimer disease-presenilin pathway	CDH7	0.0163037648825485
1005	CCKR signaling map	CDH7	0.0578140083664057
10050	NA	SLC17A4	0.861578890914942
10050	Ionotropic glutamate receptor pathway	SLC17A4	0.0062211734420251
10050	Metabotropic glutamate receptor group III pathway	SLC17A4	0.00799099002467017
100505385	NA	IQCJ-SCHIP1	0.861578890914942
100505573	NA	INAFM2	0.861578890914942
100505591	NA	LRRC3C	0.861578890914942
100505679	NA	UBE2Q2L	0.861578890914942
100505679	Parkinson disease	UBE2Q2L	0.0168937037434302
100505679	Ubiquitin proteasome pathway	UBE2Q2L	0.00713289713611498
100505724	NA	KRTAP9-7	0.861578890914942
100505741	NA	SPATA1	0.861578890914942
100505753	NA	KRTAP16-1	0.861578890914942
100505876	NA	CEBPZOS	0.861578890914942
100505993	NA	TMEM210	0.861578890914942
100506012	NA	PPP5D1	0.861578890914942
100506049	NA	LRRC72	0.861578890914942
100506084	NA	ARL17B	0.861578890914942
100506084	Huntington disease	ARL17B	0.0274053416282313
100506084	Integrin signalling pathway	ARL17B	0.0322857449318889
100506127	NA	GVQW3	0.861578890914942
100506144	NA	TMEM35B	0.861578890914942
100506164	NA	HSFX1	0.861578890914942
100506422	NA	LOC100506422	0.861578890914942
100506422	De novo pyrimidine deoxyribonucleotide biosynthesis	LOC100506422	0.00107261611069398
100506564	NA	THEGL	0.861578890914942
100506581	NA	C16orf95	0.861578890914942
100506658	NA	OCLN	0.861578890914942
100506736	NA	SLFN12L	0.861578890914942
100506742	NA	CASP12	0.861578890914942
100506742	Angiogenesis	CASP12	0.0381851335407058
100506742	Apoptosis signaling pathway	CASP12	0.0195216132146305
100506742	CCKR signaling map	CASP12	0.0578140083664057
100506742	FAS signaling pathway	CASP12	0.0138367478279524
100506742	Huntington disease	CASP12	0.0274053416282313
100506742	PI3 kinase pathway	CASP12	0.0210232757696021
100506742	VEGF signaling pathway	CASP12	0.0212914297972756
100506888	NA	ELOA3D	0.861578890914942
100507050	NA	TPBGL	0.861578890914942
100507055	NA	LRCOL1	0.861578890914942
100507096	NA	GIMD1	0.861578890914942
100507170	NA	CT47A12	0.861578890914942
100507290	NA	ZNF865	0.861578890914942
100507341	NA	SMIM18	0.861578890914942
100507421	NA	TMEM178B	0.861578890914942
100507436	NA	MICA	0.861578890914942
100507588	NA	TGFBR3L	0.861578890914942
100507588	Gonadotropin-releasing hormone receptor pathway	TGFBR3L	0.0669312453073045
100507607	NA	NPIPB9	0.861578890914942
100507608	NA	KRTAP9-6	0.861578890914942
100507650	NA	RNF212B	0.861578890914942
100507679	NA	MUC22	0.861578890914942
10051	NA	SMC4	0.861578890914942
10052	NA	GJC1	0.861578890914942
100526664	NA	LY75-CD302	0.861578890914942
100526694	NA	MSANTD3-TMEFF1	0.861578890914942
100526694	Axon guidance mediated by Slit/Robo	MSANTD3-TMEFF1	0.010511637884801
100526694	Axon guidance mediated by netrin	MSANTD3-TMEFF1	0.00568486538667811
100526694	Integrin signalling pathway	MSANTD3-TMEFF1	0.0322857449318889
100526737	NA	RBM14-RBM4	0.861578890914942
100526739	NA	CENPS-CORT	0.861578890914942
100526740	NA	ATP5MF-PTCD1	0.861578890914942
100526761	NA	CCDC169-SOHLH2	0.861578890914942
100526767	NA	RNF103-CHMP3	0.861578890914942
100526772	NA	STIMATE-MUSTN1	0.861578890914942
100526773	NA	EPPIN-WFDC6	0.861578890914942
100526773	Blood coagulation	EPPIN-WFDC6	0.0147484715220423
100526794	NA	NT5C1B-RDH14	0.861578890914942
100526832	NA	PHOSPHO2-KLHL23	0.861578890914942
100526832	Apoptosis signaling pathway	PHOSPHO2-KLHL23	0.0195216132146305
100526835	NA	FPGT-TNNI3K	0.861578890914942
100527963	NA	PMF1-BGLAP	0.861578890914942
100527978	NA	TMEM56-RWDD3	0.861578890914942
100528030	NA	POC1B-GALNT4	0.861578890914942
100528032	NA	KLRC4-KLRK1	0.861578890914942
100528062	NA	ARMCX5-GPRASP2	0.861578890914942
100529215	NA	ZNF559-ZNF177	0.861578890914942
100529241	NA	HSPE1-MOB4	0.861578890914942
100529241	CCKR signaling map	HSPE1-MOB4	0.0578140083664057
100529261	NA	CHURC1-FNTB	0.861578890914942
10053	NA	AP1M2	0.861578890914942
10053	CCKR signaling map	AP1M2	0.0578140083664057
100532726	NA	NDUFC2-KCTD14	0.861578890914942
100532731	NA	COMMD3-BMI1	0.861578890914942
100532736	NA	MICOS10-NBL1	0.861578890914942
100533105	NA	C8orf44-SGK3	0.861578890914942
100533105	5HT2 type receptor mediated signaling pathway	C8orf44-SGK3	0.0109406843290786
100533105	Alpha adrenergic receptor signaling pathway	C8orf44-SGK3	0.0062748042475598
100533105	Alzheimer disease-amyloid secretase pathway	C8orf44-SGK3	0.0114769923844256
100533105	Angiogenesis	C8orf44-SGK3	0.0381851335407058
100533105	Angiotensin II-stimulated signaling through G proteins and beta-arrestin	C8orf44-SGK3	0.0139976402445565
100533105	Apoptosis signaling pathway	C8orf44-SGK3	0.0195216132146305
100533105	B cell activation	C8orf44-SGK3	0.0215059530194144
100533105	CCKR signaling map	C8orf44-SGK3	0.0578140083664057
100533105	EGF receptor signaling pathway	C8orf44-SGK3	0.0227930923522471
100533105	Endothelin signaling pathway	C8orf44-SGK3	0.0129250241338625
100533105	FAS signaling pathway	C8orf44-SGK3	0.0138367478279524
100533105	FGF signaling pathway	C8orf44-SGK3	0.0230612463799206
100533105	Gonadotropin-releasing hormone receptor pathway	C8orf44-SGK3	0.0669312453073045
100533105	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	C8orf44-SGK3	0.0230076155743859
100533105	Histamine H1 receptor mediated signaling pathway	C8orf44-SGK3	0.00509492652579642
100533105	Huntington disease	C8orf44-SGK3	0.0274053416282313
100533105	Hypoxia response via HIF activation	C8orf44-SGK3	0.00573849619221281
100533105	Inflammation mediated by chemokine and cytokine signaling pathway	C8orf44-SGK3	0.0403839965676284
100533105	Insulin/IGF pathway-protein kinase B signaling cascade	C8orf44-SGK3	0.011584253995495
100533105	Interleukin signaling pathway	C8orf44-SGK3	0.024777432157031
100533105	Metabotropic glutamate receptor group I pathway	C8orf44-SGK3	0.006060281025421
100533105	Muscarinic acetylcholine receptor 1 and 3 signaling pathway	C8orf44-SGK3	0.0101898530515928
100533105	Oxytocin receptor mediated signaling pathway	C8orf44-SGK3	0.00842003646894776
100533105	PDGF signaling pathway	C8orf44-SGK3	0.0322321141263542
100533105	PI3 kinase pathway	C8orf44-SGK3	0.0210232757696021
100533105	Ras Pathway	C8orf44-SGK3	0.0177517966319854
100533105	T cell activation	C8orf44-SGK3	0.0224176767135042
100533105	Thyrotropin-releasing hormone receptor signaling pathway	C8orf44-SGK3	0.00927812935750295
100533105	VEGF signaling pathway	C8orf44-SGK3	0.0212914297972756
100533105	Wnt signaling pathway	C8orf44-SGK3	0.0381315027351711
100533105	p53 pathway	C8orf44-SGK3	0.0235975544352676
100533105	p53 pathway by glucose deprivation	C8orf44-SGK3	0.00713289713611498
100533105	p53 pathway feedback loops 2	C8orf44-SGK3	0.0127105009117237
100533106	NA	ZHX1-C8orf76	0.861578890914942
100533177	NA	KRTAP29-1	0.861578890914942
100533183	NA	ZNF664-RFLNA	0.861578890914942
100533496	NA	TVP23C-CDRT4	0.861578890914942
100533997	NA	MAGEA10-MAGEA5	0.861578890914942
100534012	NA	TNFAIP8L2-SCNM1	0.861578890914942
100534592	NA	URGCP-MRPS24	0.861578890914942
100534599	NA	ISY1-RAB43	0.861578890914942
10054	Ubiquitin proteasome pathway	UBA2	0.00713289713611498
10055	Ubiquitin proteasome pathway	SAE1	0.00713289713611498
10056	NA	FARSB	0.861578890914942
10057	NA	ABCC5	0.861578890914942
10058	NA	ABCB6	0.861578890914942
10059	NA	DNM1L	0.861578890914942
10059	CCKR signaling map	DNM1L	0.0578140083664057
10059	Gonadotropin-releasing hormone receptor pathway	DNM1L	0.0669312453073045
1006	Cadherin signaling pathway	CDH8	0.0174300117987772
1006	Wnt signaling pathway	CDH8	0.0381315027351711
1006	Alzheimer disease-presenilin pathway	CDH8	0.0163037648825485
1006	CCKR signaling map	CDH8	0.0578140083664057
10060	NA	ABCC9	0.861578890914942
10061	NA	ABCF2	0.861578890914942
10062	NA	NR1H3	0.861578890914942
10062	Angiogenesis	NR1H3	0.0381851335407058
10062	CCKR signaling map	NR1H3	0.0578140083664057
10062	Gonadotropin-releasing hormone receptor pathway	NR1H3	0.0669312453073045
10062	Hypoxia response via HIF activation	NR1H3	0.00573849619221281
10062	Vitamin D metabolism and pathway	NR1H3	0.00530944974793521
10062	Wnt signaling pathway	NR1H3	0.0381315027351711
10063	NA	COX17	0.861578890914942
100631383	NA	FAM47E-STBD1	0.861578890914942
100631383	Gonadotropin-releasing hormone receptor pathway	FAM47E-STBD1	0.0669312453073045
100653049	NA	LOC100653049	0.861578890914942
100653049	FAS signaling pathway	LOC100653049	0.0138367478279524
100653515	NA	CEP295NL	0.861578890914942
10066	NA	SCAMP2	0.861578890914942
10067	NA	SCAMP3	0.861578890914942
10068	NA	IL18BP	0.861578890914942
10069	NA	RWDD2B	0.861578890914942
1007	Cadherin signaling pathway	CDH9	0.0174300117987772
1007	Wnt signaling pathway	CDH9	0.0381315027351711
1007	Alzheimer disease-presenilin pathway	CDH9	0.0163037648825485
1007	CCKR signaling map	CDH9	0.0578140083664057
10072	NA	DPP3	0.861578890914942
10073	NA	SNUPN	0.861578890914942
10075	Ubiquitin proteasome pathway	HUWE1	0.00713289713611498
10075	ALP23B signaling pathway	HUWE1	0.0062211734420251
10075	Activin beta signaling pathway	HUWE1	0.0062211734420251
10075	BMP/activin signaling pathway-drosophila	HUWE1	0.00659658908076799
10075	DPP signaling pathway	HUWE1	0.00659658908076799
10075	DPP-SCW signaling pathway	HUWE1	0.00740105116378848
10075	GBB signaling pathway	HUWE1	0.00552397297007401
10075	Hedgehog signaling pathway	HUWE1	0.00756194358039258
10075	MYO signaling pathway	HUWE1	0.0062211734420251
10075	SCW signaling pathway	HUWE1	0.00659658908076799
10075	TGF-beta signaling pathway	HUWE1	0.0191998283814223
10076	NA	PTPRU	0.861578890914942
10076	Angiogenesis	PTPRU	0.0381851335407058
10076	Axon guidance mediated by Slit/Robo	PTPRU	0.010511637884801
10076	B cell activation	PTPRU	0.0215059530194144
10076	CCKR signaling map	PTPRU	0.0578140083664057
10076	Cadherin signaling pathway	PTPRU	0.0174300117987772
10076	FGF signaling pathway	PTPRU	0.0230612463799206
10076	Integrin signalling pathway	PTPRU	0.0322857449318889
10076	Interferon-gamma signaling pathway	PTPRU	0.00670385069183739
10076	JAK/STAT signaling pathway	PTPRU	0.00568486538667811
10076	T cell activation	PTPRU	0.0224176767135042
10077	NA	TSPAN32	0.861578890914942
10077	p53 pathway	TSPAN32	0.0235975544352676
10078	NA	TSSC4	0.861578890914942
10079	NA	ATP9A	0.861578890914942
1008	Cadherin signaling pathway	CDH10	0.0174300117987772
1008	Wnt signaling pathway	CDH10	0.0381315027351711
1008	Alzheimer disease-presenilin pathway	CDH10	0.0163037648825485
1008	CCKR signaling map	CDH10	0.0578140083664057
10081	NA	PDCD7	0.861578890914942
10082	NA	GPC6	0.861578890914942
100820829	NA	MYZAP	0.861578890914942
10083	NA	USH1C	0.861578890914942
10084	NA	PQBP1	0.861578890914942
10085	NA	EDIL3	0.861578890914942
10086	NA	HHLA1	0.861578890914942
100861412	NA	FSBP	0.861578890914942
100861540	NA	CYP3A7-CYP3A51P	0.861578890914942
10087	NA	COL4A3BP	0.861578890914942
100885848	NA	PTGES3L	0.861578890914942
100885850	NA	PTGES3L-AARSD1	0.861578890914942
10089	NA	KCNK7	0.861578890914942
10089	5HT1 type receptor mediated signaling pathway	KCNK7	0.00793735921913547
10089	5HT2 type receptor mediated signaling pathway	KCNK7	0.0109406843290786
10089	5HT3 type receptor mediated signaling pathway	KCNK7	0.0062211734420251
10089	5HT4 type receptor mediated signaling pathway	KCNK7	0.0063820658586292
10089	Dopamine receptor mediated signaling pathway	KCNK7	0.0150166255497158
10089	Nicotine pharmacodynamics pathway	KCNK7	0.0144803174943688
10089	Opioid proenkephalin pathway	KCNK7	0.0060066502198863
10089	Opioid proopiomelanocortin pathway	KCNK7	0.0058993886088169
1009	Cadherin signaling pathway	CDH11	0.0174300117987772
1009	Wnt signaling pathway	CDH11	0.0381315027351711
1009	Alzheimer disease-presenilin pathway	CDH11	0.0163037648825485
1009	CCKR signaling map	CDH11	0.0578140083664057
10090	NA	UST	0.861578890914942
100913187	NA	APOBEC3A_B	0.861578890914942
